FMID,MarketName,Website,street,city,County,State,zip,x,y
1000357,Altavista Farmers Market,http://www.ci.altavista.va.us,Trade Lot,Altavista,Campbell,Virginia,24517,-79.2838,37.1185
1006749,Alton Farmers and Artisans Market,http://www.AltonMainStreet.org,900 Piasa Street,Alton,Madison,Illinois,62002,-90.185394,38.895809
1004154,Altoona Farmers Market,,Heritage Plaza,Altoona,Blair,Pennsylvania,16601,-78.2462,40.6787
1001100,Altus Farmers Market,,1116 North Main ST,Altus,Jackson,Oklahoma,73521,-99.3336,34.6491
1006578,Alum Rock Village Farmers' Market,http://www.pcfma.com/market_home.php?market_id=43,57 N White Rd.,San Jose,Santa Clara,California,95127,-121.829184,37.365612
1001733,Alva Farmers Market,,102 North 2d,Alva,Woods,Oklahoma,73717,-98.6602,36.8083
1005644,Amador Farmers' Market-- Jackson,http://www.amadorfarmersmarket.com,Hwy 49 near Hwy 88,Jackson,Amador,California,95642,-120.7747,38.34751
1005645,Amador Farmers' Market-- Pine Grove,http://www.amadorfarmersmarket.com,Hwy 88 at Irishtown Rd.,Pine Grove,Amador,California,95665,-120.6583,38.41303
1005646,Amador Farmers' Market-- Sutter Creek,http://www.amadorfarmersmarket.com,Eureka St. & Highway 49,Sutter Creek,Amador,California,95685,-120.8017,38.39283
1008490,Ambler Farmers' Market,http://www.farmtocity.org/FarmersMarkets.asp,Butler Pike at Maple Ave,Ambler,Montgomery,Pennsylvania,19428,-75.225339,40.153274
1001826,Ambridge Farmers Market,,St. Mary's Church Parking Lot,Ambridge,Beaver,Pennsylvania,15003,-80.225,40.5819
1008321,Amelia Barter Town Farmers Market,http://www.Ameliamarket.org,Farmers Market at the Fairgrounds,Amelia Court House,Amelia,Virginia,23002,-77.984421,37.328752
1008399,Amelia Farmers Market,http://www.ameliafarmersmarket.com,6800 First Coast Hwy,Amelia Island,Nassau,Florida,32034,-81.454531,30.579786
1006373,Amenia Farmers Market,,4988 Route 22,,Dutchess,New York,,-73.5549,41.8513
1002214,American Falls Farmers Market,,City Park on Idaho St.,American Falls,,Idaho,83211,-120.173,40.5432
1002061,American Market@National Harbor,http://www.nationalharbor.com,American Way,National Harbor,Prince George's,Maryland,20745,-77.01422,38.783762
1001367,American National Bank Downtown Farmers Market Festival,,5th and Rood Avenue,Grand Junction,,Colorado,,-108.564,39.0682
1005946,Amerisafe Downtown Pavilion & Farmers Market,http://www.cityofderidder.org,120 North Washington Av,DeRidder,,Louisiana,70634,-93.2862,30.8469
1005188,Amery Farmers Market,,Sooline Park,Amery,Polk,Wisconsin,54001,-92.3624,45.3072
1001007,Ames Farmers' Market,http://www.amesfarmersmarket.com,Main Street Station 526 Main Street,Ames,Story,Iowa,50010,-93.6176,42.0249
1001273,Amherst Farmers Market,,Church Street,Amherst,Hillsborough,New Hampshire,3031,-71.6256,42.8646
1000284,Amherst Farmers' Market,http://www.AmherstFarmersMarket.com,Spring Street Parking Lot,Amherst Center,Hampshire,Massachusetts,1002,-72.519422,42.374858
1006962,Amherst Winter Farmers' Market,,170 Chestnut Street,Amherst,Hampshire,Massachusetts,,-71.8003,42.3658
1004055,Amityville Farmers Market,http://www.winterfarmersmarketlongisland.com,Broadway,Amityville,Suffolk,New York,11701,-73.4204356,40.6893186
1001135,Amma Farmers Market,,Amma Senior and Community Center,Amma,Roane,West Virginia,25252,-81.255883,38.583305
1008123,Anaconda Community Market,,401 E. Commercial Ave.,Anaconda,Deer Lodge,Montana,59711,-112.948115,46.129234
1005944,Anacortes Farmers Market,http://www.anacortesfarmersmarket.org,611 R Avenue,Anacortes,Skagit,Washington,98221,-122.609181,48.516974
1001105,Anamoose Market in the Park,,Main Street,Anamoose,McHenry,North Dakota,58710,-100.24061,47.880722
1003055,Anamosa Farmers Market,,Corner of Scott and Main Streets,Anamosa,Jones,Iowa,52205,-91.2795,42.1083
1007258,Anchorage Farmers Market,http://www.anchoragefarmersmarket.org,1420 Cordova Street,Anchorage,Anchorage,Alaska,99645,-152.571,64.3172
1002640,Anchorage Market & Festival,http://www.anchoragemarkets.com,3rd Avenue and E Street,Anchorage,Anchorage,Alaska,99501,-149.891,61.2195
1008251,Anderson County Farmers Market,http://www.andersoncountysc.org/web/Farmers_00.asp,402 N. Murray Ave.,Anderson,Anderson,South Carolina,29621,-82.652183,34.506745
1008727,Anderson County Farmers Market,,1505 Bypass US 127 North,Lawrenceburg,Anderson,Kentucky,40342,-84.917486,38.050707
1000971,Anderson Farm Market,,1240 Clifton Rd,Xenia,Greene,Ohio,45385,-83.8824,39.7668
1004991,Anderson Farmers' Market,http://www.andersonfarmersmarket.org,7832 Five Mile Road,Cincinnati,Hamilton,Ohio,45230,-84.350477,39.078417
1002089,Anderson Happy Valley Farmers Market,,Happy Valley Rd.,Anderson,Shasta,California,96007,-122.408,40.4487
1003516,Andersonville Farmers Market,http://www.andersonville.org,1500 W. Berwyn Ave.,Chicago,Cook,Illinois,60640,-87.6687,41.978
1007647,Andover Farmers Market,,13655 Round Lake Blvd. NW,Andover,Anoka,Minnesota,,-93.3573105,45.2192618
1008256,Andover Farmers Market,http://www.andoverhistorical.org/market,97 Main Street,Andover,Middlesex,Massachusetts,MA,-71.138738,42.653466
1000287,Andrews Farmers Market,http://www.andrewsfarmersmarket.com,First Street,Andrews,Cherokee,North Carolina,,-83.8232,35.2027
1006378,Angelica Farmers' Market,http://www.localharvest.org/angelica-farmers-market-M23451,"Park Circle, Main Street",Angelica,Allegany,New York,14709,-78.026857,42.309251
1006268,Angels Camp Farmers Market-Fresh Fridays,http://www.angelscampbusiness.com/events/fresh-fridays/,"Utica Park, Utica Lane",Angels Camp,Calaveras,California,95222,-120.5427,38.072158
1006162,Ann Arbor Farmers Market,http://www.a2gov.org/market,315 Detroit St,Ann Arbor,Washtenaw,Michigan,48104,-83.7465,42.2838
1001782,Anna/Union County Farmers Market,,1150 E Vienna St.,Anna,Union,Illinois,62906,-89.2093,37.4604
1002066,Annandale Farmers Market,http://www.fairfaxcounty.gov/parks/wp-farm-mkt.htm,6621 Columbia Pike,Annandale,,Virginia,22003,-77.1743,38.8348
1006800,Annapolis FRESHFARM Market,http://www.freshfarmmarkets.org/markets/annapolis.html,Compromise Street,Annapolis,Anne Arundel,Maryland,21401,-76.48621,38.97658
1001142,Anne Arundel County (Riva),http://www.aacofarmersmarket.com/,Riva Road & Harry S Truman pkwy,Annapolis,Anne Arundel,Maryland,21401,-76.5556,38.9763
1004881,Anne Heyliger Vegetable Market,,Queen Cross Street,Saint Croix,Frederiksted,Virgin Islands,,-64.8799,17.7099
1006274,Anniston Downtown Farmers Market,http://www.spiritofanniston.org,14th & Gurnee,Anniston,Calhoun,Alabama,36201,-85.832,33.6625
1001465,Anoka County Growers Association/ Anoka Market,,420 E. Main Street,Anoka,Anoka,Minnesota,55303,-93.384261,45.197726
1007646,Anoka County Growers/ St. Timothy Church Blaine,,707 89th Ave. NE,Blaine,Anoka,Minnesota,,-93.2525239,45.13304
1007636,Anoka County Growers/Immaculate Conception Church,,40th and Jackson Street,Columbia Heights,Anoka,Minnesota,,-93.2459,45.0489
1000306,Anselma Farmers' and Artisans' Market,http://www.facebook.com/anselmamarket,1730 Conestoga Road/Rt 401,Chester Springs,Chester,Pennsylvania,19425,-75.641899,40.079648
1000405,Anson County Farmers Market,,1736 Hwy 52 South,Wadesboro,Anson,North Carolina,28170,-80.052567,34.940829
1008378,Anthem Community Farmers Market,http://www.Arizonafarmersmarkets.com,41703 N Gavilan Peak Parkway,Anthem,Maricopa,Arizona,85086,-112.12314,33.849663
1000434,Anthony Farmers Market,,Corner of West Main and Lawrence,Anthony,Harper,Kansas,67003,-98.038,37.1521
1004557,Antigo Farmers Market,http://www.antigomarket.com,700 Superior St,Antigo,Langlade,Wisconsin,54409,-89.15228,45.14188
1006586,Antioch Farmers' Market at Somersville Towne Center,http://www.pcfma.com/market_producers.php?market_id=70,2600 Somersville Rd.,Antioch,Contra Costa,California,94509,-121.844338,38.002918
1003071,Antrim County Farmers Market,,Behind Senior Citizen Center,Bellaire,Antrim,Michigan,49615,-85.2095,44.9718
1005207,Appalachian Farmers' Market,http://www.appfarmersmarket.com,Intersection of Fair Street and Lakeview Drive,Gray,Washington,Tennessee,37615,-82.4819,36.4183
1000683,Apple Country Farmers Market,http://www.applecountryorchards.com,19th and Ave A,Lubbock,Lubbock,Texas,79401,-101.8364,33.57785
